Date,Open,High,Low,Close
04/28/2023,"4,151.00","4,193.75","4,131.50","4,188.50"
04/27/2023,"4,085.50","4,166.50","4,080.75","4,153.75"
04/26/2023,"4,110.25","4,116.25","4,068.75","4,076.00"
04/25/2023,"4,157.25","4,158.50","4,091.50","4,093.25"
04/24/2023,"4,150.00","4,164.25","4,133.50","4,159.50"
04/21/2023,"4,153.75","4,161.00","4,135.25","4,156.75"
04/20/2023,"4,172.25","4,173.50","4,137.00","4,152.50"
04/19/2023,"4,176.00","4,187.50","4,150.50","4,178.50"
04/18/2023,"4,177.00","4,198.25","4,164.50","4,180.00"
04/17/2023,"4,174.25","4,180.50","4,148.00","4,176.75"
04/14/2023,"4,168.75","4,189.00","4,138.00","4,163.75"
04/13/2023,"4,117.50","4,177.00","4,110.25","4,172.75"
04/12/2023,"4,137.50","4,177.75","4,113.50","4,119.00"
04/11/2023,"4,138.50","4,151.75","4,128.75","4,136.50"
04/10/2023,"4,139.00","4,143.00","4,098.75","4,136.25"
04/06/2023,"4,113.75","4,135.25","4,096.50","4,132.00"
04/05/2023,"4,134.00","4,135.50","4,099.00","4,117.25"
04/04/2023,"4,152.50","4,171.75","4,115.25","4,129.00"
04/03/2023,"4,127.00","4,157.75","4,122.75","4,153.75"
03/31/2023,"4,081.00","4,142.50","4,078.00","4,137.75"
03/30/2023,"4,058.00","4,087.75","4,052.50","4,080.00"
03/29/2023,"4,006.50","4,061.25","4,006.00","4,057.50"
03/28/2023,"4,013.50","4,023.75","3,980.75","4,001.50"
03/27/2023,"4,008.00","4,034.25","3,997.50","4,007.25"
03/24/2023,"3,988.75","4,010.75","3,937.00","4,001.25"
03/23/2023,"3,972.75","4,039.50","3,948.50","3,978.00"
03/22/2023,"4,038.75","4,073.75","3,966.25","3,970.50"
03/21/2023,"3,986.50","4,043.25","3,981.75","4,035.75"
03/20/2023,"3,963.75","3,989.50","3,897.25","3,983.00"
03/17/2023,"3,995.00","4,009.25","3,932.50","3,947.00"
03/16/2023,"3,924.75","4,000.00","3,895.00","3,994.50"
03/15/2023,"3,953.75","3,964.00","3,865.00","3,925.00"
03/14/2023,"3,897.25","3,972.50","3,885.00","3,954.25"
03/13/2023,"3,920.50","3,971.50","3,839.25","3,888.75"
03/10/2023,"3,919.00","3,941.75","3,846.25","3,862.75"
03/09/2023,"3,997.00","4,019.75","3,909.50","3,920.00"
03/08/2023,"3,990.00","4,003.25","3,971.50","3,995.00"
03/07/2023,"4,053.75","4,064.50","3,982.50","3,989.75"
03/06/2023,"4,049.25","4,082.50","4,041.75","4,052.50"
03/03/2023,"3,983.00","4,053.00","3,974.00","4,049.75"
03/02/2023,"3,959.75","3,995.25","3,925.00","3,984.75"
03/01/2023,"3,968.50","3,991.00","3,943.00","3,956.50"
02/28/2023,"3,991.50","4,003.75","3,965.00","3,975.50"
02/27/2023,"3,976.50","4,024.75","3,973.00","3,988.00"
02/24/2023,"4,015.25","4,023.25","3,947.50","3,975.75"
02/23/2023,"4,010.00","4,034.25","3,974.25","4,018.75"
02/22/2023,"4,007.50","4,025.00","3,983.75","3,999.00"
02/21/2023,"4,076.00","4,077.75","4,002.00","4,005.75"
02/17/2023,"4,095.50","4,096.00","4,055.75","4,087.50"
02/16/2023,"4,159.00","4,168.50","4,095.00","4,099.75"
02/15/2023,"4,141.25","4,161.75","4,113.00","4,158.25"
02/14/2023,"4,149.75","4,186.50","4,103.75","4,145.50"
02/13/2023,"4,105.00","4,150.75","4,078.75","4,147.25"
02/10/2023,"4,098.00","4,104.25","4,060.75","4,099.75"
02/09/2023,"4,132.25","4,170.25","4,078.25","4,091.75"
02/08/2023,"4,167.25","4,179.25","4,121.25","4,130.50"
02/07/2023,"4,123.50","4,188.25","4,098.25","4,175.75"
02/06/2023,"4,134.25","4,143.00","4,104.00","4,123.50"
02/03/2023,"4,176.00","4,194.00","4,132.50","4,147.75"
02/02/2023,"4,145.50","4,208.50","4,136.75","4,191.50"
02/01/2023,"4,085.75","4,163.25","4,048.50","4,132.25"
01/31/2023,"4,039.25","4,091.25","4,007.50","4,090.00"
01/30/2023,"4,077.00","4,086.00","4,029.50","4,032.50"
01/27/2023,"4,065.00","4,109.25","4,057.25","4,084.25"
01/26/2023,"4,031.00","4,077.00","4,027.25","4,075.50"
01/25/2023,"4,039.00","4,040.50","3,963.25","4,032.00"
01/24/2023,"4,036.50","4,047.50","4,005.25","4,032.75"
01/23/2023,"3,987.00","4,056.75","3,980.25","4,036.50"
01/20/2023,"3,925.00","3,990.50","3,911.75","3,988.50"
01/19/2023,"3,945.25","3,948.75","3,901.75","3,915.50"
01/18/2023,"4,008.50","4,033.50","3,943.75","3,945.75"
01/17/2023,"4,010.00","4,035.25","4,000.50","4,009.50"
01/13/2023,"4,003.00","4,024.25","3,961.75","4,018.25"
01/12/2023,"3,991.75","4,021.50","3,954.00","4,003.50"
01/11/2023,"3,941.00","3,992.50","3,934.50","3,990.00"
01/10/2023,"3,914.50","3,943.75","3,891.50","3,940.75"
01/09/2023,"3,918.50","3,973.25","3,909.75","3,913.75"
01/06/2023,"3,833.00","3,928.75","3,819.00","3,915.50"
01/05/2023,"3,871.00","3,885.50","3,822.50","3,829.00"
01/04/2023,"3,842.75","3,896.25","3,836.50","3,874.50"
01/03/2023,"3,895.00","3,906.75","3,814.50","3,846.00"
